CryptoID,Date,Open,High,Low,Close,Adj Close,Volume
DOGE-GBP,2018-02-09,0.003272,0.003622,0.003098,0.003614,0.003614,8088254
DOGE-GBP,2018-02-10,0.003601,0.003933,0.003429,0.003606,0.003606,12083339
DOGE-GBP,2018-02-11,0.003591,0.003746,0.003329,0.003586,0.003586,8182463
DOGE-GBP,2018-02-12,0.003592,0.003978,0.003591,0.003952,0.003952,8033726
DOGE-GBP,2018-02-13,0.003954,0.004089,0.003792,0.004061,0.004061,10192105
DOGE-GBP,2018-02-14,0.004056,0.00491,0.004055,0.004802,0.004802,28917160
DOGE-GBP,2018-02-15,0.004793,0.005659,0.004794,0.005209,0.005209,30682785
DOGE-GBP,2018-02-16,0.005173,0.005303,0.004623,0.005015,0.005015,18933262
DOGE-GBP,2018-02-17,0.005037,0.005221,0.004886,0.005026,0.005026,13071729
DOGE-GBP,2018-02-18,0.005072,0.005094,0.004513,0.004579,0.004579,10898368
DOGE-GBP,2018-02-19,0.004568,0.004962,0.004516,0.004787,0.004787,9306076
DOGE-GBP,2018-02-20,0.004774,0.005922,0.00458,0.005068,0.005068,77084792
DOGE-GBP,2018-02-21,0.005063,0.005285,0.004562,0.004731,0.004731,26467108
DOGE-GBP,2018-02-22,0.004722,0.004945,0.004374,0.004487,0.004487,14598925
DOGE-GBP,2018-02-23,0.004482,0.004973,0.00433,0.00476,0.00476,13885070
DOGE-GBP,2018-02-24,0.004774,0.00494,0.00439,0.004529,0.004529,11233298
DOGE-GBP,2018-02-25,0.004527,0.004591,0.004291,0.004397,0.004397,8418385
DOGE-GBP,2018-02-26,0.004416,0.004658,0.004245,0.00454,0.00454,8643272
DOGE-GBP,2018-02-27,0.004557,0.004702,0.00449,0.004525,0.004525,8777082
DOGE-GBP,2018-02-28,0.00451,0.004641,0.004367,0.004376,0.004376,9618674
DOGE-GBP,2018-03-01,0.004394,0.004586,0.004318,0.004512,0.004512,11266444
DOGE-GBP,2018-03-02,0.004483,0.004527,0.003946,0.003971,0.003971,16298247
DOGE-GBP,2018-03-03,0.00398,0.00417,0.003753,0.00384,0.00384,15607795
DOGE-GBP,2018-03-04,0.003792,0.003989,0.003741,0.003989,0.003989,8796216
DOGE-GBP,2018-03-05,0.00396,0.004015,0.003723,0.003768,0.003768,9840916
DOGE-GBP,2018-03-06,0.003699,0.003709,0.003283,0.003317,0.003317,10624433
DOGE-GBP,2018-03-07,0.003323,0.003387,0.002885,0.002895,0.002895,12649619
DOGE-GBP,2018-03-08,0.002888,0.003186,0.002801,0.002916,0.002916,11229008
DOGE-GBP,2018-03-09,0.002902,0.002993,0.00262,0.002993,0.002993,9836402
DOGE-GBP,2018-03-10,0.002987,0.003162,0.002852,0.002868,0.002868,7133449
DOGE-GBP,2018-03-11,0.002858,0.003119,0.002774,0.003038,0.003038,6677329
DOGE-GBP,2018-03-12,0.003036,0.003084,0.002758,0.0029,0.0029,5467132
DOGE-GBP,2018-03-13,0.002891,0.003032,0.002781,0.002835,0.002835,4299613
