Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,0.156225,0.157567,0.148283,0.150789,0.150789,62649733
2018-05-26,0.150117,0.154424,0.147212,0.147717,0.147717,45552266
2018-05-27,0.147557,0.147619,0.144505,0.145455,0.145455,44330803
2018-05-28,0.145559,0.146269,0.130730,0.131307,0.131307,71449328
2018-05-29,0.131827,0.157515,0.130873,0.153328,0.153328,139740417
2018-05-30,0.153701,0.164595,0.151437,0.158969,0.158969,167604276
2018-05-31,0.158405,0.173118,0.155111,0.169500,0.169500,152085497
2018-06-01,0.168987,0.172435,0.162586,0.166622,0.166622,97751984
2018-06-02,0.166767,0.171882,0.164177,0.170542,0.170542,87191104
2018-06-03,0.170511,0.177296,0.168729,0.170876,0.170876,87783104
2018-06-04,0.170877,0.172958,0.158888,0.160742,0.160742,86829653
2018-06-05,0.160919,0.165395,0.153892,0.164479,0.164479,89410624
2018-06-06,0.164552,0.164687,0.157210,0.160758,0.160758,63168868
2018-06-07,0.161044,0.163256,0.156165,0.157375,0.157375,57360716
2018-06-08,0.157161,0.157110,0.151174,0.153104,0.153104,51240289
2018-06-09,0.153031,0.156317,0.150668,0.150668,0.150668,38381719
2018-06-10,0.150240,0.150240,0.127613,0.131873,0.131873,102770653
2018-06-11,0.131421,0.136058,0.125481,0.135587,0.135587,66829248
2018-06-12,0.135638,0.136933,0.121765,0.124568,0.124568,61980037
2018-06-13,0.124232,0.124770,0.113016,0.119895,0.119895,74543389
2018-06-14,0.119777,0.131880,0.116155,0.130055,0.130055,150567376
2018-06-15,0.129937,0.129937,0.121907,0.122523,0.122523,55673038
2018-06-16,0.122518,0.123939,0.120346,0.122685,0.122685,31780020
2018-06-17,0.122816,0.123825,0.121310,0.121567,0.121567,26929416
2018-06-18,0.121373,0.126471,0.118395,0.123787,0.123787,41867401
2018-06-19,0.124228,0.129008,0.122714,0.126925,0.126925,53032493
2018-06-20,0.126618,0.127084,0.119083,0.122986,0.122986,63492218
2018-06-21,0.123036,0.124369,0.118987,0.119728,0.119728,31139243
2018-06-22,0.119656,0.119960,0.103548,0.105364,0.105364,59570524
2018-06-23,0.105737,0.107956,0.101606,0.103879,0.103879,29175558
2018-06-24,0.104246,0.104424,0.091894,0.100078,0.100078,55081074
2018-06-25,0.099790,0.104217,0.096958,0.101905,0.101905,43507684
2018-06-26,0.102172,0.102490,0.095392,0.095392,0.095392,24909222
2018-06-27,0.095734,0.097598,0.094268,0.097145,0.097145,28258556
2018-06-28,0.097106,0.098012,0.090623,0.091272,0.091272,32318596
2018-06-29,0.091331,0.096477,0.087185,0.095178,0.095178,49816186
2018-06-30,0.095417,0.104756,0.095417,0.104225,0.104225,79187675
2018-07-01,0.104674,0.110419,0.101345,0.107668,0.107668,82323592
2018-07-02,0.107958,0.123502,0.105221,0.120446,0.120446,123171753
2018-07-03,0.120632,0.126508,0.113314,0.114202,0.114202,82080049
2018-07-04,0.113857,0.121075,0.111402,0.114139,0.114139,65473232
2018-07-05,0.114620,0.116887,0.109769,0.112648,0.112648,55886003
2018-07-06,0.112518,0.112493,0.105414,0.109920,0.109920,52023175
2018-07-07,0.110050,0.113147,0.104518,0.113147,0.113147,36091422
2018-07-08,0.112831,0.113909,0.108942,0.109373,0.109373,36216354
2018-07-09,0.109340,0.109957,0.105605,0.105615,0.105615,32270807
